鼻子,右眼,左眼,右耳,左耳,右肩,左肩,右肘,左肘,右手,左手,右胯,左胯,右膝盖,左膝盖,右脚踝,左脚踝
"[1128.4200439453125, 540.3965454101562]","[1128.4200439453125, 517.3851928710938]","[1116.9144287109375, 517.3851928710938]","[1398.802978515625, 885.5662841796875]","[1059.3861083984375, 505.8795471191406]","[1001.85791015625, 586.4191284179688]","[961.5880737304688, 586.4191284179688]","[996.1050415039062, 666.9588012695312]","[1024.869140625, 586.4191284179688]","[1370.038818359375, 868.3077392578125]","[1042.127685546875, 517.3851928710938]","[1070.891845703125, 793.5209350585938]","[1047.8804931640625, 885.5662841796875]","[1249.2294921875, 689.9700927734375]","[1260.735107421875, 724.4869995117188]","[1393.05029296875, 897.0718994140625]","[1410.3087158203125, 914.3304443359375]"
"[1134.6357421875, 534.9729614257812]","[1128.8873291015625, 517.7279663085938]","[1117.390625, 517.7279663085938]","[1399.059326171875, 908.6150512695312]","[1054.158935546875, 506.23126220703125]","[1002.4238891601562, 592.4563598632812]","[962.1854858398438, 586.7080688476562]","[996.675537109375, 667.184814453125]","[1025.417236328125, 586.7080688476562]","[1364.5693359375, 862.6283569335938]","[1042.6622314453125, 517.7279663085938]","[1071.4039306640625, 793.6482543945312]","[1048.4105224609375, 885.6217651367188]","[1249.6025390625, 690.1781616210938]","[1261.09912109375, 724.668212890625]","[1393.31103515625, 897.1183471679688]","[1410.5560302734375, 920.1117553710938]"
"[1127.65966796875, 535.2062377929688]","[1127.65966796875, 518.0169067382812]","[1116.2001953125, 518.0169067382812]","[1396.959228515625, 884.7225341796875]","[1058.9024658203125, 506.5574035644531]","[967.22607421875, 586.7742309570312]","[967.22607421875, 598.2338256835938]","[955.7665405273438, 598.2338256835938]","[1024.5238037109375, 581.0444946289062]","[995.8749389648438, 546.6658325195312]","[1030.2535400390625, 518.0169067382812]","[1064.6322021484375, 793.0462036132812]","[1047.44287109375, 884.7225341796875]","[1247.9849853515625, 689.9102172851562]","[1259.444580078125, 724.2888793945312]","[1391.2293701171875, 896.18212890625]","[1408.418701171875, 913.3714599609375]"
"[1112.34814453125, 534.7062377929688]","[1118.0926513671875, 517.4727172851562]","[1100.859130859375, 517.4727172851562]","[1393.829345703125, 885.1217651367188]","[1049.158447265625, 505.9837341308594]","[940.0126953125, 592.1514282226562]","[957.2462768554688, 597.8959350585938]","[934.2681884765625, 586.4069213867188]","[1014.69140625, 574.9179077148438]","[968.7352905273438, 569.1734008789062]","[1014.69140625, 511.72821044921875]","[1066.3919677734375, 798.9540405273438]","[1049.158447265625, 885.1217651367188]","[1244.471923828125, 689.8081665039062]","[1261.70556640625, 724.2753295898438]","[1399.5738525390625, 890.8662719726562]","[1405.318359375, 913.8442993164062]"
"[1112.2489013671875, 535.0278930664062]","[1117.9927978515625, 517.7960815429688]","[1100.760986328125, 517.7960815429688]","[1393.70263671875, 885.408935546875]","[1049.0654296875, 506.3081359863281]","[939.9303588867188, 592.4674682617188]","[957.1622314453125, 598.2113647460938]","[934.1864013671875, 586.7234497070312]","[1014.6017456054688, 575.2355346679688]","[985.8820190429688, 552.259765625]","[1014.6017456054688, 512.0520629882812]","[1060.5533447265625, 799.2496948242188]","[1049.0654296875, 885.408935546875]","[1244.3597412109375, 690.1146850585938]","[1261.5916748046875, 724.5783081054688]","[1399.446533203125, 891.1529541015625]","[1405.1904296875, 914.1287841796875]"
"[1112.29833984375, 535.0667114257812]","[1118.044677734375, 517.8275756835938]","[1100.8056640625, 517.8275756835938]","[1393.87060546875, 885.5953979492188]","[1049.0882568359375, 506.3348083496094]","[939.9072265625, 592.5303955078125]","[957.1463623046875, 598.2767944335938]","[934.160888671875, 586.7839965820312]","[1014.610107421875, 575.2913208007812]","[985.8782348632812, 552.3057861328125]","[1014.610107421875, 512.0811767578125]","[1066.327392578125, 799.3998413085938]","[1049.0882568359375, 885.5953979492188]","[1244.46484375, 690.2186889648438]","[1261.7041015625, 724.6969604492188]","[1399.616943359375, 891.3417358398438]","[1405.36328125, 914.3272094726562]"
"[1097.33056640625, 535.1248168945312]","[1103.0826416015625, 512.1161499023438]","[1091.578369140625, 517.8682861328125]","[1390.6915283203125, 914.7684936523438]","[1039.8087158203125, 512.1161499023438]","[919.0130615234375, 598.3987426757812]","[936.2695922851562, 598.3987426757812]","[930.5173950195312, 638.6640014648438]","[999.5435180664062, 575.3900756835938]","[993.7913208007812, 546.6292114257812]","[1016.8001098632812, 494.85955810546875]","[1062.8173828125, 805.4772338867188]","[1045.5609130859375, 886.0076293945312]","[1246.8870849609375, 684.6814575195312]","[1258.3914794921875, 724.9467163085938]","[1396.4437255859375, 897.5120239257812]","[1407.947998046875, 920.5206909179688]"
"[1094.8687744140625, 533.2202758789062]","[1094.8687744140625, 509.8822021484375]","[1077.365234375, 509.8822021484375]","[1392.429443359375, 889.1261596679688]","[1036.5235595703125, 515.7167358398438]","[989.8473510742188, 597.4000854492188]","[925.6676025390625, 597.4000854492188]","[989.8473510742188, 568.2274169921875]","[989.8473510742188, 579.896484375]","[1001.5164184570312, 521.5512084960938]","[1013.1854858398438, 492.37860107421875]","[1065.6961669921875, 795.7738647460938]","[1048.192626953125, 883.2916870117188]","[1246.56640625, 684.9179077148438]","[1258.2354736328125, 725.7595825195312]","[1398.263916015625, 894.9607543945312]","[1409.93310546875, 918.2988891601562]"
"[1094.4554443359375, 533.1710815429688]","[1094.4554443359375, 509.8038635253906]","[1082.7718505859375, 515.6456909179688]","[1392.387451171875, 895.3628540039062]","[1036.0374755859375, 515.6456909179688]","[989.3030395507812, 597.430908203125]","[925.0432739257812, 597.430908203125]","[989.3030395507812, 568.2218627929688]","[989.3030395507812, 579.9054565429688]","[995.1448974609375, 539.0128784179688]","[1012.6702880859375, 492.2784729003906]","[1065.2464599609375, 796.0521850585938]","[1047.7210693359375, 883.6791381835938]","[1246.34228515625, 685.0579223632812]","[1258.02587890625, 725.9505004882812]","[1398.229248046875, 895.3628540039062]","[1409.912841796875, 918.7300415039062]"
"[1087.7342529296875, 534.2337036132812]","[1087.7342529296875, 510.7525939941406]","[1070.1234130859375, 510.7525939941406]","[1392.9886474609375, 898.19091796875]","[1023.1612548828125, 510.7525939941406]","[987.9395751953125, 598.8067626953125]","[917.4962768554688, 598.8067626953125]","[964.45849609375, 563.5850830078125]","[982.0692749023438, 581.1959228515625]","[1005.5504150390625, 528.3634643554688]","[1005.5504150390625, 499.0120544433594]","[1064.253173828125, 798.3961791992188]","[1046.642333984375, 886.4503173828125]","[1246.231689453125, 686.8609008789062]","[1257.9722900390625, 722.0825805664062]","[1398.85888671875, 898.19091796875]","[1404.7291259765625, 915.8017578125]"
"[1080.4139404296875, 529.0040893554688]","[1074.528564453125, 505.4626770019531]","[1062.7578125, 511.3480224609375]","[1392.3370361328125, 899.7804565429688]","[1003.904541015625, 505.4626770019531]","[933.2804565429688, 593.7427978515625]","[915.6244506835938, 599.6281127929688]","[956.82177734375, 564.3161010742188]","[974.4778442382812, 581.9721069335938]","[1003.904541015625, 523.1187133789062]","[998.0192260742188, 499.57733154296875]","[1062.7578125, 799.7296752929688]","[1045.101806640625, 888.0098266601562]","[1245.203369140625, 687.9082641601562]","[1256.97412109375, 723.2202758789062]","[1398.2222900390625, 899.7804565429688]","[1404.107666015625, 911.5512084960938]"
